,Unnamed: 0,OfferId,OfferName,OfferType,OfferCategory,OfferContent,OfferChannel,Points,ExclusionCategory,BenefitType,PointType,ProgramCode,ProgramName,ProgramTier,ProgramPointType,ProductCategory,ProductCode,ProductName,Season,Month,WeekDay,Holiday,WeekEnd,BirthDay,WeddingAnniversary ,Duration,StartDate,EndDate,Unnamed: 27,PartnerCategory,PartnerCode,PartnerName,PartnerType,TargetedAge,Targetted Nationality,Targetted Preference Group,TargetedGender,Targetted Type,TargetedTier,Targetted Channel,TargetedMaritalStatus,DiscountPercentage
23,23,O0024,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,nan,,,Birthday Offers,,nan,2019-12-01,2020-01-31,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,nan,Gold,"Mobile App, SMS",All,0
24,24,O0025,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 20,Jan,nan,,Weekend Offers,,,nan,2019-01-01,2019-05-31,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,0
25,25,O0026,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 21,Feb,nan,,Weekend Offers,,,nan,2019-01-01,2019-05-31,,,UU,Uber,Cab,All,US,Individuals,All,nan,Bronze,Social Media,All,0
26,26,O0027,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 22,Jan,nan,,Weekend Offers,,,nan,2019-01-01,2019-05-31,,,BCLA,Barista Coffee,Eat,All,US,Individuals,All,nan,Bronze,Social Media,All,0
27,27,O0028,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P018,Chase Credit Cards,Winter 23,Feb,nan,,Weekend Offers,,,nan,2019-01-01,2019-05-31,,Non Air,EXP,Expedia,Booking ,All,US,Individuals,All,nan,Bronze,Social Media,All,0
28,28,O0029,JULY 4 15,Accruals ,Discounts,Upto 15% off on Flight Fees,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P006,Airline Fare Discounts,Holiday,July,1.0,Independence Day,,,,nan,2019-07-01,2019-07-31,,Air,LF,Luftanza,Air,All,US,Individuals,All,nan,Bronze,Web,All,15
29,29,O0030,Buy & Earn Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles",Web,200.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P001,ABC miles,Holiday,,nan,Vacation,,,,nan,2019-07-01,2019-10-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Bronze,Web,,0
30,30,O0031,Earn miles with ABC,,Points,Earn more miles on your purchase when you use your eligible ABC  credit card.,Web,100.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P001,ABC miles,Holiday,,nan,Vacation,,,,nan,2019-07-01,2019-10-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Bronze,Web,,0
31,31,O0032,Earn 25k Bonus miles,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.",Web,2500.0,,Points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,Holiday,,nan,Vacation,,,,nan,2019-01-01,2019-03-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Gold,Web,,0
32,32,O0033,Earn 30K Bonus miles,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.",Web,3000.0,,Points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,Holiday,,nan,Vacation,,,,nan,2019-06-01,2019-08-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Gold,Web,,0
33,33,O0034,Earn 50k Bonus Miles,,Points,"Earn 50,000 bonus miles when you book a vacation to Paris  with ABC Card",Web,5000.0,,points,,FFP,Frequent Flyer Program,Platinum,,nan,P013,Bonus miles,,,nan,,,,,nan,2019-06-01,2019-08-31,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,nan,Platinum,Web,,0
34,34,O0035,Celebrate Summer Sale 20,Accruals ,Discounts,Save 20%/night to all destinations,Social Media,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P006,Airline Fare Discounts,Holiday,,nan,Summer,,,,nan,2019-07-01,2019-10-31,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Bronze,Social Media,,20
35,35,O0036,Celebrate Summer Sale 30,Accruals ,Discounts,Save 30%/night to all destinations,Social Media,400.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P006,Airline Fare Discounts,Holiday,,nan,Summer,,,,nan,2019-06-01,2019-08-31,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Gold,Social Media,,30
36,36,O0037,Celebrate Summer Sale 40,Accruals ,Discounts,Save 40%/night to all destinations,Social Media,500.0,,Discounts,,FFP,Frequent Flyer Program,Platinum,,nan,P006,Airline Fare Discounts,Holiday,,nan,Summer,,,,nan,2019-06-01,2019-08-31,,Air,AM,Americal Airways,Air,All,US,Individuals,All,nan,Platinum,Social Media,,40
37,37,O0038,35% with Budget,Accruals ,Discounts,Save up to 35% with Budget,Web,100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P017,Budget,Holiday,,nan,Vacation,,,,nan,2019-07-01,2019-10-31,,Non Air,BJT,Budget,Cab,All,US,All,All,nan,Bronze,Web,All,35
38,38,O0039,Earn miles with every stay,,Points,"Book hotels and earn up to 10,000 miles per night on select properties.",Web,200.0,,Points,,FFP,Frequent Flyer Program,Bronze,,nan,P040,Marriot,,,nan,,,,,nan,2019-07-01,2019-10-31,,,MM,Marriot,Hotel,All,US,Individuals,All,nan,Bronze,Web,Married,0
39,39,O0040, à la carte - Food & Bev,Accruals ,Discounts,Get 10% off on F&B,Web,200.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P009,Ancillary-Food & Bev ,,,nan,,,Birthday,Anniversary,nan,2019-07-01,2019-10-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,10
40,40,O0041, à la carte - Food & Bev- Wine,Accruals ,Discounts,Get 10% off on F&B-Wine,Web,100.0,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,nan,P070,Wine,,,nan,,,Birthday,Anniversary,nan,2019-01-01,2019-03-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,10
41,41,O0042, à la carte - Baggage and excess baggage,Accruals ,Discounts,15% discount on excess baggage,Web,50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P011,Baggage,,,nan,,,Birthday,Anniversary,nan,2019-09-01,2019-10-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,15
42,42,O0043, à la carte - Seats,Accruals ,Discounts,10% discount on Xleg Seats,Web,50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P056,Seats,,,nan,,,Birthday,Anniversary,nan,2019-09-01,2019-10-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,Web,Married,10
43,43,O0044,Early Bird 10,Accruals ,Discounts, à la carte - 10% discount on early boarding for F&B,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P026,Early Boarding,,,nan,,,Birthday,Anniversary,nan,2019-09-01,2019-10-31,,Air,AA,American Airways,Air,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
44,44,O0045,Marriot 15,Accruals ,Discounts, 15% discount at Marriot,"Loyalty Portal , Web",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P040,Marriot,,,nan,,,Birthday,Anniversary,nan,2019-09-01,2019-10-31,,Non Air,MM,Marriot,Hotel,All,US,Individuals,All,nan,Bronze,"Loyalty Portal , Web",Married,15
45,45,O0046,Uber 10,Accruals ,Discounts,10% discuount with Uber Cabs,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P066,Uber,,,nan,,,Birthday,Anniversary,nan,2019-09-01,2019-10-31,,Non Air,UU,Uber,Cab,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
46,46,O0047,TI 10,Accruals ,Discounts,10% discount on Travel Insurance with TT insurance,"Loyalty  Portal, Mobile App",50.0,,Discounts,,,Frequent Flyer Program,Bronze,,nan,P065,TT Insurance,,,nan,,,Birthday,Anniversary,nan,2019-09-01,2019-10-31,,Non Air,TI,TT Insurance,Insurance,All,US,Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",Married,10
47,47,O0048,Early Bird  Offer,,Promotions,New Product that’s not officially Launched,"Loyalty  Portal, Mobile App",50.0,not for <18 years of age,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,nan,P045,New Launches,Summer 2020,April ,nan,,,,,nan,2019-01-01,2019-03-31,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,nan,Bronze,"Loyalty  Portal, Mobile App",Both,0
48,48,O0049,"4,000 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"60,000 Bonus Points [Highest EVER Bonus]  with Chase Saphire Card","Loyalty  Portal, Mobile App",4000.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,nan,P019,Credit Card Offer,Summer 2020,May,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,CH,Chase ,Credit Card,30 - 40,US,Individuals,All,nan,Saphire,"Loyalty  Portal, Mobile App",Both,0
49,49,O0050," 60,00 Rewards points  with AMEx Platinum Card",,Promotions,"Earn 60,000 Membership Rewards points  with Chase Platinum Card","Loyalty  Portal, Mobile App",6000.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,nan,P019,Credit Card Offer,Summer 2021,May,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,CH,Chase ,Credit Card,All,US,Individuals,All,nan,Platinum,"Loyalty  Portal, Mobile App",All,0
50,50,O0051,"35,000  Rewards points with AMEx Gold Card",,Promotions,"Earn 35,000 Membership Rewards points with Chase Gold Card","Loyalty  Portal, Mobile App",250.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P019,Credit Card Offer,Summer 2022,May,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,CH,Chase ,Credit Card,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,0
51,51,O0052,Member Only FFP - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for FFP members,"Loyalty  Portal, Mobile App",250.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,nan,New Year,,,,nan,2019-06-01,2019-08-31,,Air,LH,Luftansa,Airlines,All,US,Corporates,All,nan,Gold,"Loyalty  Portal, Mobile App",All,0
52,52,O0053,Member Only - Fun 50 Gold,Redemption,Promotions,Redeem new products listed exclusively for Gold members,"Loyalty  Portal, Mobile App",250.0,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,nan,P043,Member Only Offers,Fall 2020,Dec,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,LH,Luftansa,Airlines,40-65,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,0
53,53,O0054,Member Only - Fun 50 Platinum,Redemption,Promotions,Redeem new products listed exclusively for Platinummembers ,"Loyalty  Portal, Mobile App",500.0,,Discounts,,FFP,Frequent Flyer Program,Platinum,,nan,P043,Member Only Offers,Summer 2020,April ,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,,,,All,,All,All,nan,Platinum,"Loyalty  Portal, Mobile App",All,0
54,54,O0055,Member Only - Fun 50 Br,Redemption,Promotions,Redeem new products listed exclusively for Bronze members,"Loyalty  Portal, Mobile App",50.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P043,Member Only Offers,Summer 2021,May,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,,,,All,,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,0
55,55,O0056,Member Only - Fun 50 New,Redemption,Promotions,Redeem new products listed exclusively for New members,"Loyalty  Portal, Mobile App",50.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P043,Member Only Offers,Summer 2022,June,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,,,,All,,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,0
56,56,O0057,Join the world for 2000,,Coupons,Join the Loyalty Program account gain 2000 points,"Loyalty  Portal, Mobile App",50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P035,Loyalty Member Addition,,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,0
57,57,O0058,10 point per $1 ,,Coupons,Make a purchase 10 points per $1 . Earn point for every Dollar you spend,"Loyalty  Portal, Mobile App",50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P036,Loyalty Offers,,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,0
58,58,O0059,Friend-500,,Coupons,Refer a friend earn 500 points,"Loyalty  Portal, Mobile App",50.0,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P036,Loyalty Offers,,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,0
59,59,O0060,$10 off 200 points,Redemption,Discounts,Redeem points for discounts,"Loyalty  Portal, Mobile App",50.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P053,Redemption Offers,,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,5
60,60,O0061,35% Off 1000 Points,Redemption,Discounts,Redeem points for discounts,"Loyalty  Portal, Mobile App",100.0,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,nan,P053,Redemption Offers,,,nan,,,,,nan,2019-01-01,2019-03-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,3
61,61,O0062,30$ off 2800 points,Redemption,Discounts,Redeem points for discounts,"Loyalty  Portal, Mobile App",250.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P053,Redemption Offers,,,nan,,,,,nan,2019-06-01,2019-08-31,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,5
62,62,O0063,Summer Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,"Loyalty  Portal, Mobile App",100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P061,Target Offers,Summer ,May,nan,Summer,,,,nan,2019-01-01,2019-03-31,,,TC,Target Corp,Retail,All,US,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,10
63,63,O0064,Summer Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,"Loyalty  Portal, Mobile App",100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P061,Target Offers,Summer ,May,nan,Summer,,,,nan,2019-01-01,2019-03-31,,,TC,Target Corp,Retail,All,US,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,15
64,64,O0065,Summer Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,"Loyalty  Portal, Mobile App",250.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P061,Target Offers,Summer ,May,nan,Summer,,,,nan,2019-01-01,2019-03-31,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,25
65,65,O0066,Summer Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,"Loyalty  Portal, Mobile App",100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P068,Walmart Offers,Summer ,May,nan,Summer,,,,nan,2019-01-01,2019-03-31,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,10
66,66,O0067,Summer Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,"Loyalty  Portal, Mobile App",100.0,,Discounts,,FFP,Frequent Flyer Program,Bronze,,nan,P068,Walmart Offers,Summer ,May,nan,Summer,,,,nan,2019-01-01,2019-03-31,,,TC,Walmart Corp,Retail,All,AUS,All,All,nan,Bronze,"Loyalty  Portal, Mobile App",All,15
67,67,O0068,Summer Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,"Loyalty  Portal, Mobile App",250.0,,Discounts,,FFP,Frequent Flyer Program,Gold,,nan,P068,Walmart Offers,Summer ,May,nan,Summer,,,,nan,2019-01-01,2019-03-31,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,25
68,68,O0069,Starbucks 300,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Loyalty  Portal, Mobile App",250.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,Winter,,nan,,,,,nan,2019-01-01,2019-03-31,,,SB,Starbucks,,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,0
69,69,O0070,Starbucks 3k,Redemption,Redeem,Gain/Acrue 30o0 points and redeem your Starbucks Reward,"Loyalty  Portal, Mobile App",250.0,,Cash,,FFP,Frequent Flyer Program,Gold,,nan,P058,Starbucks offers,,,nan,,,,Anniversary Discounts,nan,2019-01-01,2019-03-31,,Non Air,SB,Starbucks,,All,US,Individuals,All,nan,Gold,"Loyalty  Portal, Mobile App",All,0
