customer_id,customer_tier,id,offer_id,offer_transaction_date,transaction_amount,points,accrual,redemption,offer_tier,target_customer_age_segment,offer_target_age,osd,oed
59336,Bronze,17094,O0063,1/18/2019,1100,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17095,O0094,3/20/2019,550,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17096,O0088,03-11-2019,500,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17097,O0065,03-09-2019,5000,250,1,0,Gold,18-25,All,01-01-2019,3/31/2019
59336,Bronze,17100,O0015,7/18/2019,1300,100,1,0,Gold,18-25,20-30,07-01-2019,8/31/2019
59336,Bronze,17101,O0014,04-03-2019,1000,100,1,1,Bronze,18-25,20-30,04-01-2019,7/31/2019
59336,Bronze,17104,O0021,11/20/2019,1000,100,1,1,Gold,18-25,All,07-01-2019,12/31/2019
59336,Bronze,17105,O0040,8/19/2019,2200,200,0,1,Bronze,18-25,All,07-01-2019,10/31/2019
59336,Bronze,17106,O0012,09-03-2019,950,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
59336,Bronze,17394,O0006,7/24/2019,2200,200,0,1,Gold,18-25,40-65,06-01-2019,8/31/2019
59336,Bronze,19499,O0001,08-05-2019,550,50,1,0,Bronze,18-25,40-65,06-01-2019,8/31/2019
60006,Bronze,17275,O0057,1/31/2019,900,50,1,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
60006,Bronze,17276,O0080,3/31/2019,3600,300,1,1,Gold,18-25,All,01-01-2019,3/31/2019
60006,Bronze,17277,O0058,2/24/2019,600,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
60006,Bronze,17278,O0061,1/14/2019,1800,100,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
60006,Bronze,17279,O0011,9/25/2019,800,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
60193,Bronze,15455,O0010,06-08-2019,2000,100,0,1,Bronze,18-25,20-30,06-01-2019,8/31/2019
60193,Bronze,16875,O0007,08-05-2019,2800,200,1,0,Gold,18-25,All,06-01-2019,8/31/2019
60193,Bronze,17320,O0088,01-01-2019,950,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
60193,Bronze,17321,O0041,1/16/2019,1700,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
60193,Bronze,17322,O0028,01-10-2019,750,50,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
60193,Bronze,17323,O0058,3/28/2019,600,50,1,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
60193,Bronze,17324,O0061,01-12-2019,1100,100,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
60193,Bronze,17328,O0012,10-09-2019,600,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
60193,Bronze,17329,O0011,10/17/2019,950,50,1,1,Bronze,18-25,20-30,07-01-2019,10/31/2019
60193,Bronze,17330,O0019,7/28/2019,1500,100,1,0,Bronze,18-25,All,07-01-2019,12/31/2019
60193,Bronze,17331,O0021,10/25/2019,1000,100,1,0,Gold,18-25,All,07-01-2019,12/31/2019
60193,Bronze,17409,O0006,7/24/2019,4000,200,1,0,Gold,18-25,40-65,06-01-2019,8/31/2019
61099,Bronze,17895,O0058,02-01-2019,900,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
61099,Bronze,17896,O0026,3/30/2019,1600,100,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
61099,Bronze,17897,O0040,08-01-2019,2400,200,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
61099,Bronze,17898,O0029,07-11-2019,1100,100,1,0,Bronze,18-25,All,07-01-2019,7/31/2019
61099,Bronze,17900,O0031,08-03-2019,2000,100,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
61099,Bronze,19167,O0002,07-04-2019,20000,4000,1,0,Saphire,18-25,30 - 40,06-01-2019,8/31/2019
61100,Bronze,16468,O0008,07-09-2019,3000,300,1,0,Gold,18-25,All,06-01-2019,8/31/2019
61100,Bronze,17465,O0006,8/16/2019,3000,200,1,0,Gold,18-25,40-65,06-01-2019,8/31/2019
61100,Bronze,17901,O0067,1/22/2019,1500,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
61100,Bronze,17902,O0059,01-12-2019,900,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
61100,Bronze,17903,O0078,3/26/2019,750,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
61100,Bronze,17904,O0028,03-07-2019,500,50,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
61100,Bronze,17906,O0014,05-02-2019,1300,100,1,0,Bronze,18-25,20-30,04-01-2019,7/31/2019
61100,Bronze,17908,O0040,07-11-2019,3400,200,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
61160,Bronze,15937,O0009,08-10-2019,4800,300,1,0,Gold,18-25,All,06-01-2019,8/31/2019
61160,Bronze,17475,O0006,08-06-2019,2400,200,1,0,Gold,18-25,40-65,06-01-2019,8/31/2019
61160,Bronze,17927,O0005,8/13/2019,1900,100,1,0,Gold,18-25,All,06-01-2019,8/31/2019
61160,Bronze,17970,O0023,1/22/2019,4800,300,0,1,Gold,18-25,All,01-01-2019,3/31/2019
61160,Bronze,17971,O0059,03-06-2019,950,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
61160,Bronze,17972,O0058,2/25/2019,600,50,1,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
61160,Bronze,17976,O0024,12-03-2019,3600,300,0,1,Gold,18-25,All,12-01-2019,1/31/2020
61160,Bronze,17977,O0019,9/21/2019,1400,100,1,0,Bronze,18-25,All,07-01-2019,12/31/2019
59505,Bronze,704,O0062,7/17/2019,5000,250,0,1,Gold,18-25,20-30,06-01-2019,8/31/2019
59505,Bronze,4332,O0044,9/25/2019,550,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
59505,Bronze,7126,O0045,10/28/2019,550,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
59505,Bronze,9015,O0046,10/20/2019,600,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
59505,Bronze,11105,O0047,10/18/2019,750,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
59505,Bronze,13329,O0082,12-02-2019,550,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
59505,Bronze,14115,O0036,7/24/2019,5600,400,1,0,Gold,18-25,All,06-01-2019,8/31/2019
59505,Bronze,15660,O0086,11/30/2019,650,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
59505,Bronze,17186,O0093,3/13/2019,1000,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17187,O0060,2/25/2019,550,50,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
59505,Bronze,17188,O0048,03-03-2019,550,50,1,0,Bronze,18-25,40-65,01-01-2019,3/31/2019
59505,Bronze,17189,O0057,3/22/2019,550,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
59505,Bronze,17190,O0063,1/21/2019,1900,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17191,O0080,03-04-2019,6000,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17192,O0079,01-12-2019,4200,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17193,O0023,2/18/2019,6000,300,0,1,Gold,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17194,O0065,01-03-2019,2750,250,1,0,Gold,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17195,O0066,1/14/2019,1100,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17196,O0077,3/15/2019,1800,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
59505,Bronze,17197,O0025,3/17/2019,1700,100,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
59505,Bronze,17198,O0058,03-04-2019,500,50,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
59505,Bronze,17200,O0029,7/29/2019,1600,100,1,0,Bronze,18-25,All,07-01-2019,7/31/2019
59505,Bronze,17203,O0040,10-02-2019,4000,200,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
59505,Bronze,17205,O0022,12/15/2019,4800,300,0,1,Gold,18-25,All,07-01-2019,12/31/2019
59505,Bronze,17208,O0031,08-08-2019,1300,100,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
59505,Bronze,17210,O0021,9/22/2019,1900,100,1,0,Gold,18-25,All,07-01-2019,12/31/2019
10119,Bronze,1255,O0042,10-07-2019,950,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
10119,Bronze,2952,O0043,09-03-2019,550,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
10119,Bronze,7619,O0049,7/30/2019,12000,4000,1,0,Saphire,18-25,30 - 40,06-01-2019,8/31/2019
10119,Bronze,13048,O0036,7/30/2019,8000,400,1,0,Gold,18-25,All,06-01-2019,8/31/2019
10119,Bronze,13909,O0082,10-09-2019,550,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
10119,Bronze,14208,O0089,1/18/2019,650,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
10119,Bronze,14209,O0057,03-04-2019,500,50,1,0,Bronze,18-25,20-30,01-01-2019,3/31/2019
10119,Bronze,14210,O0080,03-07-2019,5100,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
10119,Bronze,14211,O0061,1/25/2019,1200,100,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
10119,Bronze,14212,O0065,1/28/2019,2500,250,1,0,Gold,18-25,All,01-01-2019,3/31/2019
10119,Bronze,14213,O0071,3/29/2019,5700,300,0,1,Gold,18-25,All,01-01-2019,3/31/2019
10119,Bronze,14214,O0079,3/20/2019,4800,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
10119,Bronze,14215,O0028,04-09-2019,950,50,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
10119,Bronze,14216,O0014,4/23/2019,1100,100,0,1,Bronze,18-25,20-30,04-01-2019,7/31/2019
10119,Bronze,14218,O0015,07-04-2019,1500,100,1,0,Gold,18-25,20-30,07-01-2019,8/31/2019
10119,Bronze,14222,O0031,08-03-2019,1500,100,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
10119,Bronze,14223,O0022,7/19/2019,5400,300,0,1,Gold,18-25,All,07-01-2019,12/31/2019
10119,Bronze,14225,O0011,8/13/2019,950,50,0,1,Bronze,18-25,20-30,07-01-2019,10/31/2019
10119,Bronze,14228,O0040,10/24/2019,2800,200,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
10119,Bronze,14229,O0019,09-01-2019,1200,100,1,0,Bronze,18-25,All,07-01-2019,12/31/2019
10119,Bronze,16284,O0008,7/30/2019,6000,300,1,0,Gold,18-25,All,06-01-2019,8/31/2019
10119,Bronze,17204,O0087,12-10-2019,850,50,1,0,Bronze,18-25,All,9/15/2019,12/31/2019
10119,Bronze,18990,O0002,7/30/2019,8000,4000,0,1,Saphire,18-25,30 - 40,06-01-2019,8/31/2019
10201,Bronze,1169,O0042,10-07-2019,550,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
10201,Bronze,14257,O0066,1/14/2019,2000,100,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
10201,Bronze,14258,O0080,1/24/2019,3600,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
10201,Bronze,14259,O0069,01-03-2019,3750,250,0,1,Gold,18-25,All,01-01-2019,3/31/2019
10201,Bronze,14260,O0061,02-05-2019,1000,100,0,1,Bronze,18-25,20-30,01-01-2019,3/31/2019
10201,Bronze,14261,O0065,01-04-2019,4250,250,1,0,Gold,18-25,All,01-01-2019,3/31/2019
10201,Bronze,14262,O0088,2/17/2019,900,50,1,0,Bronze,18-25,All,01-01-2019,3/31/2019
10201,Bronze,14263,O0079,3/27/2019,4200,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
10201,Bronze,14264,O0027,3/17/2019,1000,50,1,0,Bronze,18-25,All,01-01-2019,5/31/2019
10201,Bronze,14266,O0011,10-11-2019,700,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
10201,Bronze,14267,O0035,10-11-2019,1200,100,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
10201,Bronze,14269,O0012,9/27/2019,750,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
10201,Bronze,14271,O0021,12/29/2019,1700,100,1,0,Gold,18-25,All,07-01-2019,12/31/2019
10201,Bronze,14272,O0022,7/28/2019,4500,300,0,1,Gold,18-25,All,07-01-2019,12/31/2019
10201,Bronze,16290,O0008,7/30/2019,3000,300,1,0,Gold,18-25,All,06-01-2019,8/31/2019
10201,Bronze,16746,O0007,7/24/2019,3800,200,1,0,Gold,18-25,All,06-01-2019,8/31/2019
11807,Bronze,1628,O0053,7/30/2019,3250,250,0,1,Gold,18-25,40-65,06-01-2019,8/31/2019
11807,Bronze,2903,O0043,10-11-2019,650,50,1,0,Bronze,18-25,All,09-01-2019,10/31/2019
11807,Bronze,14310,O0066,1/18/2019,1500,100,0,1,Bronze,18-25,All,01-01-2019,3/31/2019
11807,Bronze,14311,O0041,02-09-2019,1100,100,0,1,Bronze,18-25,All,01-01-2019,3/31/2019
11807,Bronze,14312,O0023,1/23/2019,3000,300,0,1,Gold,18-25,All,01-01-2019,3/31/2019
11807,Bronze,14313,O0079,3/23/2019,5400,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
11807,Bronze,14314,O0080,1/26/2019,5100,300,1,0,Gold,18-25,All,01-01-2019,3/31/2019
11807,Bronze,14319,O0030,9/30/2019,3400,200,1,0,Bronze,18-25,All,07-01-2019,10/31/2019
11807,Bronze,14320,O0011,09-07-2019,800,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
11807,Bronze,14322,O0012,09-05-2019,900,50,1,0,Bronze,18-25,20-30,07-01-2019,10/31/2019
11807,Bronze,15422,O0010,6/20/2019,1700,100,1,0,Bronze,18-25,20-30,06-01-2019,8/31/2019
11807,Bronze,15727,O0009,7/30/2019,3300,300,0,1,Gold,18-25,All,06-01-2019,8/31/2019
11807,Bronze,16299,O0008,7/30/2019,3900,300,1,0,Gold,18-25,All,06-01-2019,8/31/2019
11807,Bronze,17199,O0006,06-07-2019,2600,200,1,0,Gold,18-25,40-65,06-01-2019,8/31/2019
32206,Bronze,551,O0062,07-03-2019,3000,250,0,1,Gold,26-35,20-30,06-01-2019,8/31/2019
32206,Bronze,1878,O0053,08-12-2019,4500,250,0,1,Gold,26-35,40-65,06-01-2019,8/31/2019
32206,Bronze,14609,O0080,02-03-2019,3000,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
32206,Bronze,14610,O0066,03-12-2019,1300,100,1,0,Bronze,26-35,All,01-01-2019,3/31/2019
32206,Bronze,14611,O0070,1/25/2019,3500,250,0,1,Gold,26-35,All,01-01-2019,3/31/2019
32206,Bronze,14612,O0079,3/14/2019,3900,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
32206,Bronze,14613,O0023,1/28/2019,4500,300,0,1,Gold,26-35,All,01-01-2019,3/31/2019
32206,Bronze,14614,O0067,02-01-2019,2000,100,1,0,Bronze,26-35,All,01-01-2019,3/31/2019
32206,Bronze,14619,O0021,10/27/2019,1000,100,1,0,Gold,26-35,All,07-01-2019,12/31/2019
32206,Bronze,14620,O0040,7/25/2019,4000,200,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
32206,Bronze,14621,O0030,07-04-2019,3800,200,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
32206,Bronze,14622,O0012,10/28/2019,1000,50,1,0,Bronze,26-35,20-30,07-01-2019,10/31/2019
32206,Bronze,14623,O0011,7/16/2019,850,50,0,1,Bronze,26-35,20-30,07-01-2019,10/31/2019
32206,Bronze,14624,O0103,12/20/2019,4500,300,1,0,Gold,26-35,Above 65,12-01-2019,1/31/2020
32206,Bronze,15424,O0010,8/25/2019,1600,100,1,0,Bronze,26-35,20-30,06-01-2019,8/31/2019
32206,Bronze,17745,O0005,6/16/2019,1900,100,1,0,Gold,26-35,All,06-01-2019,8/31/2019
31107,Bronze,1863,O0053,08-01-2019,4250,250,0,1,Gold,26-35,40-65,06-01-2019,8/31/2019
31107,Bronze,14585,O0067,01-06-2019,1700,100,1,0,Bronze,26-35,All,01-01-2019,3/31/2019
31107,Bronze,14586,O0080,3/17/2019,3300,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
31107,Bronze,14587,O0079,02-02-2019,5400,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
31107,Bronze,14588,O0026,5/27/2019,1500,100,1,0,Bronze,26-35,All,01-01-2019,5/31/2019
31107,Bronze,14591,O0013,4/16/2019,1800,100,0,1,Bronze,26-35,20-30,04-01-2019,7/31/2019
31107,Bronze,14592,O0012,07-03-2019,650,50,1,1,Bronze,26-35,20-30,07-01-2019,10/31/2019
31107,Bronze,14596,O0031,9/19/2019,1700,100,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
31107,Bronze,14597,O0035,10/26/2019,1700,100,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
31107,Bronze,14598,O0030,07-08-2019,4000,200,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
31107,Bronze,14599,O0024,1/22/2020,4200,300,0,1,Gold,26-35,All,12-01-2019,1/31/2020
31107,Bronze,15423,O0010,6/19/2019,1600,100,1,0,Bronze,26-35,20-30,06-01-2019,8/31/2019
31107,Bronze,15738,O0009,6/26/2019,4800,300,1,0,Gold,26-35,All,06-01-2019,8/31/2019
31107,Bronze,16331,O0008,08-05-2019,4200,300,1,0,Gold,26-35,All,06-01-2019,8/31/2019
31107,Bronze,17744,O0005,7/30/2019,1000,100,1,0,Gold,26-35,All,06-01-2019,8/31/2019
7415,Bronze,1625,O0053,7/30/2019,3250,250,0,1,Gold,26-35,40-65,06-01-2019,8/31/2019
7415,Bronze,14149,O0057,1/29/2019,650,50,1,0,Bronze,26-35,20-30,01-01-2019,3/31/2019
7415,Bronze,14150,O0065,2/25/2019,4500,250,1,0,Gold,26-35,All,01-01-2019,3/31/2019
7415,Bronze,14151,O0026,4/19/2019,1800,100,1,0,Bronze,26-35,All,01-01-2019,5/31/2019
7415,Bronze,14152,O0079,03-04-2019,3900,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
7415,Bronze,14153,O0041,02-04-2019,1500,100,0,1,Bronze,26-35,All,01-01-2019,3/31/2019
7415,Bronze,14154,O0080,3/15/2019,6000,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
7415,Bronze,14156,O0035,8/14/2019,1900,100,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
7415,Bronze,14157,O0017,7/26/2019,2550,150,1,0,Bronze,26-35,All,07-01-2019,8/31/2019
7415,Bronze,14158,O0030,9/13/2019,3400,200,1,0,Bronze,26-35,All,07-01-2019,10/31/2019
7415,Bronze,14159,O0011,9/13/2019,600,50,0,1,Bronze,26-35,20-30,07-01-2019,10/31/2019
7415,Bronze,14160,O0022,7/19/2019,3600,300,0,1,Gold,26-35,All,07-01-2019,12/31/2019
10101,Bronze,1289,O0042,10-07-2019,900,50,1,0,Bronze,26-35,All,09-01-2019,10/31/2019
10101,Bronze,14161,O0028,2/16/2019,700,50,1,0,Bronze,26-35,All,01-01-2019,5/31/2019
10101,Bronze,14162,O0048,01-11-2019,850,50,1,0,Bronze,26-35,40-65,01-01-2019,3/31/2019
10101,Bronze,14163,O0079,03-07-2019,6000,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
10101,Bronze,14164,O0080,03-09-2019,5100,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
10101,Bronze,14165,O0088,3/14/2019,950,50,1,0,Bronze,26-35,All,01-01-2019,3/31/2019
10101,Bronze,14166,O0061,02-05-2019,1800,100,0,1,Bronze,26-35,20-30,01-01-2019,3/31/2019
10101,Bronze,14168,O0015,7/15/2019,1600,100,1,0,Gold,26-35,20-30,07-01-2019,8/31/2019
10101,Bronze,14169,O0012,7/22/2019,900,50,1,0,Bronze,26-35,20-30,07-01-2019,10/31/2019
10101,Bronze,15421,O0010,7/30/2019,1600,100,1,0,Bronze,26-35,20-30,06-01-2019,8/31/2019
26977,Bronze,549,O0062,7/18/2019,3250,250,0,1,Gold,26-35,20-30,06-01-2019,8/31/2019
26977,Bronze,14522,O0023,1/27/2019,3900,300,0,1,Gold,26-35,All,01-01-2019,3/31/2019
26977,Bronze,14523,O0027,4/30/2019,900,50,1,0,Bronze,26-35,All,01-01-2019,5/31/2019
26977,Bronze,14524,O0080,2/27/2019,4800,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
26977,Bronze,14525,O0048,1/28/2019,550,50,1,0,Bronze,26-35,40-65,01-01-2019,3/31/2019
26977,Bronze,14526,O0066,2/19/2019,1700,100,1,0,Bronze,26-35,All,01-01-2019,3/31/2019
26977,Bronze,14527,O0079,03-10-2019,4200,300,1,0,Gold,26-35,All,01-01-2019,3/31/2019
26977,Bronze,14528,O0026,5/20/2019,1800,100,0,1,Bronze,26-35,All,01-01-2019,5/31/2019
