,CustomerID,Recency,Frequency,MonetaryValue,R,F,M,RFM_Segment_Concat,RFM_Score,OfferId,OfferName,OfferType,Offer Category,OfferContent,Offer Channel,Points_x,ExclusionCategory,BenefitType,Point Type,Program Code,Program Name,ProgramTier,Program Point Type,Product Category,Product Code,Product Name,Season,Month,Week Day,Holiday,Week End,Birth Day,Wedding Anniversary ,Duration,Start Date,End Date,Partner Category,Partner Code,Partner Name,Partner Type,Targetted Nationality,Targetted Preference Group,Targetted Type,Targetted Channel,CustomerGender,CustomerCountry,OfferTransactionDate,TransactionAmount,Points_y,Accrual,Redemption,CustomerTier,OfferTier,CustomerAge,OSD,OED,InvoiceDate
14,3412,148,7,20350,1,2,1,121,4.0,O0019,Walmart 10,,Discounts,10% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,walmart discounts,,,,,,,,,2019-07-01,2019-12-31,,TC,Walmart Corp,Retail,,,,,F,IN,2019-09-06,1200,100,1,0,Bronze,Bronze,61,2019-07-01,2019-12-31,2019-09-06
15,3412,148,7,20350,1,2,1,121,4.0,O0029,JULY 4 15,,Discounts,Upto 15% off on Flight Fees,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,,Holiday,July,1.0,Independence Day,,,,,2019-07-01,2019-07-31,Air,LF,Luftanza,Air,US,Individuals,,web,F,IN,2019-07-21,2000,100,1,0,Bronze,Bronze,61,2019-07-01,2019-07-31,2019-07-21
16,3412,148,7,20350,1,2,1,121,4.0,O0022,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,,Starbucks offers,Winter,,,,,,,,2019-07-01,2019-12-31,,SB,Starbucks,Eat,US,Individuals,,web,F,IN,2019-08-17,4500,300,1,0,Bronze,Gold,61,2019-07-01,2019-12-31,2019-08-17
17,3412,148,7,20350,1,2,1,121,4.0,O0065,Summer Target 25,,Discounts,25% Discount on spending 100 USD,Web,250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,,,Summer ,May,,Summer,,,,,2019-01-01,2019-03-31,Non Air,TC,Target Corp,Retail,US,Individuals,,web,F,IN,2019-03-03,4250,250,1,0,Bronze,Gold,61,2019-01-01,2019-03-31,2019-03-03
18,3412,148,7,20350,1,2,1,121,4.0,O0079,Earn 50k Bonus miles with ABC,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.",Web,300,,Points,,FFP,Frequent Flyer Program,Gold,,,,,Holiday,,,Vacation,,,,,2019-01-01,2019-03-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,F,IN,2019-01-24,4500,300,0,1,Bronze,Gold,61,2019-01-01,2019-03-31,2019-01-24
19,3412,148,7,20350,1,2,1,121,4.0,O0080,Earn 300K Bonus miles with ABC,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.",Web,300,,Points,,FFP,Frequent Flyer Program,Gold,,,,,Holiday,,,Vacation,,,,,2019-01-01,2019-03-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,F,IN,2019-01-25,3300,300,1,0,Bronze,Gold,61,2019-01-01,2019-03-31,2019-01-25
20,3623,164,7,54450,1,2,4,124,7.0,O0013,$10 off 100 points,Redemption,Discounts,Redeem points for discounts,Web,100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,,Redeem offers,,,,,,,,,2019-04-01,2019-07-31,Non Air,WLFF,WeLoveFunFit,E-commerce,US,New Subscribers  - Individuals,,web,M,IN,2019-07-26,2000,100,1,0,Platinum,Bronze,27,2019-04-01,2019-07-31,2019-07-26
21,3623,164,7,54450,1,2,4,124,7.0,O0061,35% Off 1000 Points,,Discounts,Redeem points for discounts,Web,100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,,,,,,,,,,,2019-01-01,2019-03-31,Non Air,WLFF,WeLoveFunFit,E-commerce,US,New Subscribers  - Individuals,,web,M,IN,2019-03-02,2000,100,1,0,Platinum,Bronze,27,2019-01-01,2019-03-31,2019-03-02
22,3623,164,7,54450,1,2,4,124,7.0,O0048,Early Bird  Offer,,Promotions,New Product that’s not officially Launched,Loyalty Membership,50,not for <18 years of age,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P1,Product 1,Summer 2020,April ,,,,,,,2019-01-01,2019-03-31,Air,QF,Qantas Airways,,Europe,Corporates,,Credit Card,M,IN,2019-01-08,850,50,0,1,Platinum,Bronze,27,2019-01-01,2019-03-31,2019-01-08
23,3623,164,7,54450,1,2,4,124,7.0,O0027,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,BCLA,Barista Coffee,Winter 22,Jan,,,Weekend Offers,,,,2019-01-01,2019-05-31,,BCLA,Barista Coffee,Eat,US,Individuals,,Social Media,M,IN,2019-04-24,600,50,1,0,Platinum,Bronze,27,2019-01-01,2019-05-31,2019-04-24
24,3623,164,7,54450,1,2,4,124,7.0,O0005,Member Only - Early Birds 50,Accruals ,Promotions,Redeem new products listed exclusively for members- First 50,Mobile,100,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,,Member Only Offers,Fall 2020,Dec,,New Year,,,,,2019-06-01,2019-08-31,Air,Luftansa,Luftansa,Airlines,US,Corporates,,Mobile,M,IN,2019-07-26,1500,100,1,0,Platinum,Gold,27,2019-06-01,2019-08-31,2019-07-26
25,3623,164,7,54450,1,2,4,124,7.0,O0003," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card",Web,6000,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,CCP-P,Credit Card Offer,Summer 2021,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,US,Individuals,,Credit Card,M,IN,2019-08-20,30000,6000,0,1,Platinum,Platinum,27,2019-06-01,2019-08-31,2019-08-20
26,3623,164,7,54450,1,2,4,124,7.0,O0004,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card",Web,3500,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,CCP-G,Credit Card Offer,Summer 2022,May,,,,,,,2019-06-01,2019-08-31,Non Air,AMEX,American Express,Credit Card,US,Individuals,,Credit Card,M,IN,2019-08-21,17500,3500,1,0,Platinum,Platinum,27,2019-06-01,2019-08-31,2019-08-21
27,5104,30,7,20750,3,2,1,321,6.0,O0001,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,Loyalty Membership,50,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P1,Product 1,Summer 2020,April ,,,,,,,2019-06-01,2019-08-31,Air,QF,Qantas Airways,,Europe,Corporates,,Credit Card,F,AF,2019-06-01,500,50,1,0,Gold,Bronze,5,2019-06-01,2019-08-31,2019-06-01
28,5104,30,7,20750,3,2,1,321,6.0,O0027,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,BCLA,Barista Coffee,Winter 22,Jan,,,Weekend Offers,,,,2019-01-01,2019-05-31,,BCLA,Barista Coffee,Eat,US,Individuals,,Social Media,F,AF,2019-01-02,850,50,1,0,Gold,Bronze,5,2019-01-01,2019-05-31,2019-01-02
29,5104,30,7,20750,3,2,1,321,6.0,O0031,Earn miles with ABC,,Points,Earn more miles on your purchase when you use your eligible ABC  credit card.,Web,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,,,Holiday,,,Vacation,,,,,2019-07-01,2019-10-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,F,AF,2019-10-14,1500,100,1,0,Gold,Bronze,5,2019-07-01,2019-10-31,2019-10-14
30,5104,30,7,20750,3,2,1,321,6.0,O0104,SeniorLadies Winter30,,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms.,Mobile,300,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,,SCO,Senior Citizens Discounts,Winter,,,,,Birthday,,,2019-12-01,2020-01-31,Non Air,MM,Marriot,Hotel,US,Senior Citizens,,Web,F,AF,2019-12-31,4200,300,1,0,Gold,Gold,5,2019-12-01,2020-01-31,2019-12-31
31,5104,30,7,20750,3,2,1,321,6.0,O0007,Member Only - Thanks Giving 20,Accruals ,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,Mobile,200,,Points,,FFP,Frequent Flyer Program,Gold,,,,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,Air,,,,,,,,F,AF,2019-06-15,2000,200,1,0,Gold,Gold,5,2019-06-01,2019-08-31,2019-06-15
32,5104,30,7,20750,3,2,1,321,6.0,O0024,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Mobile,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,,Starbucks offers,,,,,,Birthday Offers,,,2019-12-01,2020-01-31,Non Air,SB,Starbucks,Eat,US,Individuals,,web,F,AF,2020-01-02,5700,300,1,0,Gold,Gold,5,2019-12-01,2020-01-31,2020-01-02
33,5104,30,7,20750,3,2,1,321,6.0,O0036,Celebrate Summer Sale 30,,Discounts,Save $30/night to all destinations,Social Media,400,,Discounts,,FFP,Frequent Flyer Program,Gold,,,AA,American,Holiday,,,Summer,,,,,2019-06-01,2019-08-31,Air,AM,Americal Airways,Air,US,Individuals,,,F,AF,2019-07-09,6000,400,1,0,Gold,Gold,5,2019-06-01,2019-08-31,2019-07-09
34,5106,23,3,8600,4,1,1,411,6.0,O0040, à la carte - Food & Bev,,Discounts,Get 10% off on F&B,Web,200,,Discounts,,,Frequent Flyer Program,Bronze,,,FB,Ancillary-Food & Bev ,,,,,,Birthday,Anniversary,,2019-07-01,2019-10-31,Air,AA,American Airways,Air,US,Individuals,,Web,M,IN,2019-10-15,3000,200,1,0,Bronze,Bronze,34,2019-07-01,2019-10-31,2019-10-15
35,5106,23,3,8600,4,1,1,411,6.0,O0041, à la carte - Food & Bev- Wine,,Discounts,Get 10% off on F&B-Wine,Web,100,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,,FBW,wine,,,,,,Birthday,Anniversary,,2019-01-01,2019-03-31,Air,AA,American Airways,Air,US,Individuals,,Web,M,IN,2019-02-09,1400,100,1,0,Bronze,Bronze,34,2019-01-01,2019-03-31,2019-02-09
36,5106,23,3,8600,4,1,1,411,6.0,O0024,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Mobile,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,,Starbucks offers,,,,,,Birthday Offers,,,2019-12-01,2020-01-31,Non Air,SB,Starbucks,Eat,US,Individuals,,web,M,IN,2020-01-09,4200,300,1,0,Bronze,Gold,34,2019-12-01,2020-01-31,2020-01-09
37,6006,101,8,23900,2,2,2,222,6.0,O0026,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,UU,Uber,Winter 21,Feb,,,Weekend Offers,,,,2019-01-01,2019-05-31,,UU,Uber,Cab,US,Individuals,,Social Media,F,IN,2019-03-01,1000,100,0,1,Bronze,Bronze,35,2019-01-01,2019-05-31,2019-03-01
38,6006,101,8,23900,2,2,2,222,6.0,O0028,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,EXP,Expedia,Winter 23,Feb,,,Weekend Offers,,,,2019-01-01,2019-05-31,Non Air,EXP,Expedia,Booking ,US,Individuals,,Social Media,F,IN,2019-02-13,700,50,1,0,Bronze,Bronze,35,2019-01-01,2019-05-31,2019-02-13
39,6006,101,8,23900,2,2,2,222,6.0,O0035,Celebrate Summer Sale 20,,Discounts,Save $20/night to all destinations,Social Media,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,AA,American,Holiday,,,Summer,,,,,2019-07-01,2019-10-31,Air,AM,Americal Airways,Air,US,Individuals,,,F,IN,2019-10-23,1500,100,1,0,Bronze,Bronze,35,2019-07-01,2019-10-31,2019-10-23
40,6006,101,8,23900,2,2,2,222,6.0,O0041, à la carte - Food & Bev- Wine,,Discounts,Get 10% off on F&B-Wine,Web,100,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,,FBW,wine,,,,,,Birthday,Anniversary,,2019-01-01,2019-03-31,Air,AA,American Airways,Air,US,Individuals,,Web,F,IN,2019-03-02,1700,100,1,0,Bronze,Bronze,35,2019-01-01,2019-03-31,2019-03-02
41,6006,101,8,23900,2,2,2,222,6.0,O0022,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,,Starbucks offers,Winter,,,,,,,,2019-07-01,2019-12-31,,SB,Starbucks,Eat,US,Individuals,,web,F,IN,2019-09-19,5700,300,1,0,Bronze,Gold,35,2019-07-01,2019-12-31,2019-09-19
42,6006,101,8,23900,2,2,2,222,6.0,O0065,Summer Target 25,,Discounts,25% Discount on spending 100 USD,Web,250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,,,Summer ,May,,Summer,,,,,2019-01-01,2019-03-31,Non Air,TC,Target Corp,Retail,US,Individuals,,web,F,IN,2019-03-27,2500,250,1,0,Bronze,Gold,35,2019-01-01,2019-03-31,2019-03-27
43,6006,101,8,23900,2,2,2,222,6.0,O0079,Earn 50k Bonus miles with ABC,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.",Web,300,,Points,,FFP,Frequent Flyer Program,Gold,,,,,Holiday,,,Vacation,,,,,2019-01-01,2019-03-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,F,IN,2019-02-09,5400,300,1,0,Bronze,Gold,35,2019-01-01,2019-03-31,2019-02-09
44,6006,101,8,23900,2,2,2,222,6.0,O0080,Earn 300K Bonus miles with ABC,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.",Web,300,,Points,,FFP,Frequent Flyer Program,Gold,,,,,Holiday,,,Vacation,,,,,2019-01-01,2019-03-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,F,IN,2019-03-15,5400,300,1,0,Bronze,Gold,35,2019-01-01,2019-03-31,2019-03-15
45,7401,34,5,11800,3,1,1,311,5.0,O0048,Early Bird  Offer,,Promotions,New Product that’s not officially Launched,Loyalty Membership,50,not for <18 years of age,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P1,Product 1,Summer 2020,April ,,,,,,,2019-01-01,2019-03-31,Air,QF,Qantas Airways,,Europe,Corporates,,Credit Card,U,IN,2019-02-19,900,50,1,0,Saphire,Bronze,39,2019-01-01,2019-03-31,2019-02-19
46,7401,34,5,11800,3,1,1,311,5.0,O0019,Walmart 10,,Discounts,10% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,walmart discounts,,,,,,,,,2019-07-01,2019-12-31,,TC,Walmart Corp,Retail,,,,,U,IN,2019-12-29,1900,100,1,0,Saphire,Bronze,39,2019-07-01,2019-12-31,2019-12-29
47,7401,34,5,11800,3,1,1,311,5.0,O0026,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,UU,Uber,Winter 21,Feb,,,Weekend Offers,,,,2019-01-01,2019-05-31,,UU,Uber,Cab,US,Individuals,,Social Media,U,IN,2019-02-20,1800,100,1,0,Saphire,Bronze,39,2019-01-01,2019-05-31,2019-02-20
48,7401,34,5,11800,3,1,1,311,5.0,O0030,Buy & Earn Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles",Web,200,,Points,,FFP,Frequent Flyer Program,Bronze,,,,,Holiday,,,Vacation,,,,,2019-07-01,2019-10-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,U,IN,2019-10-04,3200,200,1,0,Saphire,Bronze,39,2019-07-01,2019-10-31,2019-10-04
49,7401,34,5,11800,3,1,1,311,5.0,O0007,Member Only - Thanks Giving 20,Accruals ,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,Mobile,200,,Points,,FFP,Frequent Flyer Program,Gold,,,,Member Only Offers,,,,,,,,,2019-06-01,2019-08-31,Air,,,,,,,,U,IN,2019-07-03,4000,200,1,0,Saphire,Gold,39,2019-06-01,2019-08-31,2019-07-03
50,7415,37,12,33650,3,4,2,342,9.0,O0011,1 point per $1 ,,Coupons,Make a purchase 1 point per $1 . Earn point for every Dollar you spend,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,,Redeem offers,,,,,,,,,2019-07-01,2019-10-31,Non Air,WLFF,WeLoveFunFit,E-commerce,US,New Subscribers  - Individuals,,web,M,IN,2019-08-23,600,50,0,1,Bronze,Bronze,30,2019-07-01,2019-10-31,2019-08-23
51,7415,37,12,33650,3,4,2,342,9.0,O0057,Join the world for 2000,,Coupons,Create an account gain 2000 points,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,,,,,,,,,,,2019-01-01,2019-03-31,Non Air,WLFF,WeLoveFunFit,E-commerce,US,New Subscribers  - Individuals,,web,M,IN,2019-01-10,650,50,1,0,Bronze,Bronze,30,2019-01-01,2019-03-31,2019-01-10
52,7415,37,12,33650,3,4,2,342,9.0,O0017,Target 15,,Discounts,15% Discount on your next Target Store Visit,Web,150,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,,Target Discounts,,,,,,,,,2019-07-01,2019-08-31,,TC,Target Corp,Retail,,,,,M,IN,2019-08-12,2550,150,1,0,Bronze,Bronze,30,2019-07-01,2019-08-31,2019-08-12
53,7415,37,12,33650,3,4,2,342,9.0,O0026,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,UU,Uber,Winter 21,Feb,,,Weekend Offers,,,,2019-01-01,2019-05-31,,UU,Uber,Cab,US,Individuals,,Social Media,M,IN,2019-04-04,1800,100,1,0,Bronze,Bronze,30,2019-01-01,2019-05-31,2019-04-04
54,7415,37,12,33650,3,4,2,342,9.0,O0030,Buy & Earn Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles",Web,200,,Points,,FFP,Frequent Flyer Program,Bronze,,,,,Holiday,,,Vacation,,,,,2019-07-01,2019-10-31,Air,AA,ABC Card,Credit Card,US,Individuals,,,M,IN,2019-10-20,3400,200,1,0,Bronze,Bronze,30,2019-07-01,2019-10-31,2019-10-20
55,7415,37,12,33650,3,4,2,342,9.0,O0035,Celebrate Summer Sale 20,,Discounts,Save $20/night to all destinations,Social Media,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,AA,American,Holiday,,,Summer,,,,,2019-07-01,2019-10-31,Air,AM,Americal Airways,Air,US,Individuals,,,M,IN,2019-08-20,1900,100,1,0,Bronze,Bronze,30,2019-07-01,2019-10-31,2019-08-20
56,7415,37,12,33650,3,4,2,342,9.0,O0041, à la carte - Food & Bev- Wine,,Discounts,Get 10% off on F&B-Wine,Web,100,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,,FBW,wine,,,,,,Birthday,Anniversary,,2019-01-01,2019-03-31,Air,AA,American Airways,Air,US,Individuals,,Web,M,IN,2019-03-18,1500,100,0,1,Bronze,Bronze,30,2019-01-01,2019-03-31,2019-03-18
57,7415,37,12,33650,3,4,2,342,9.0,O0053,Member Only - Fun 50 Gold,,Promotions,Redeem new products listed exclusively for Gold members,Mobile,250,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,MM-O2,Member Only Offers,Fall 2020,Dec,,,,,,,2019-06-01,2019-08-31,Non Air,LH,Luftansa,Airlines,US,Individuals,,,M,IN,2019-08-23,3250,250,1,0,Bronze,Gold,30,2019-06-01,2019-08-31,2019-08-23
58,7415,37,12,33650,3,4,2,342,9.0,O0022,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,,Starbucks offers,Winter,,,,,,,,2019-07-01,2019-12-31,,SB,Starbucks,Eat,US,Individuals,,web,M,IN,2019-12-26,3600,300,1,0,Bronze,Gold,30,2019-07-01,2019-12-31,2019-12-26
