"id","customer_id","offer_id","offer_transaction_date","transaction_amount","points","accrual","redemption","customer_tier","offer_tier","target_customer_age_segment","offer_target_age","osd","oed"
44,"1579","O0153","3/6/2020",24.58,,1,0,,,"46-55",,"1/1/2020","3/31/2020"
45,"90","O0140","9/22/2020",53.07,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
46,"12","O0022","10/25/2019",426.73,,0,1,,,"46-55",,"7/1/2019","12/31/2019"
47,"76","O0115","6/26/2020",62.33,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
48,"12","O0147","8/11/2020",426.73,,1,0,,,"46-55",,"7/1/2020","10/31/2020"
49,"13","O0078","3/27/2019",106.86,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
50,"13","O0063","2/7/2019",106.86,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
51,"93","O0062","7/16/2019",142.12,,0,1,,,"56-70",,"6/1/2019","8/31/2019"
52,"1579","O0143","3/6/2020",122.89,,1,0,,,"46-55",,"1/2/2020","5/31/2020"
53,"1578","O0235","3/6/2020",56.28,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
54,"1576","O0218","3/6/2020",56.64,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
55,"13","O0130","7/27/2020",58.77,,0,1,,,"36-45",,"7/1/2020","8/31/2020"
56,"13","O0126","12/25/2020",35.26,,1,0,,,"36-45",,"7/1/2020","12/31/2020"
57,"119","O0062","8/22/2019",24.58,,0,1,,,"46-55",,"6/1/2019","8/31/2019"
58,"128","O0062","7/13/2019",57.35,,0,1,,,"36-45",,"6/1/2019","8/31/2019"
59,"235","O0062","8/26/2019",44.52,,0,1,,,"56-70",,"6/1/2019","8/31/2019"
60,"1574","O0219","3/6/2020",70.88,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
61,"1574","O0201","3/6/2020",176.32,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
62,"14","O0240","4/10/2020",44.52,,1,0,,,"26-35",,"3/1/2020","7/31/2020"
63,"14","O0239","5/13/2020",44.52,,1,0,,,"26-35",,"3/1/2020","7/31/2020"
64,"162","O0115","8/19/2020",106.86,,1,0,,,"26-35",,"6/1/2020","8/31/2020"
65,"181","O0115","6/28/2020",78.01,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
66,"14","O0146","7/24/2020",106.86,,1,0,,,"26-35",,"7/1/2020","10/31/2020"
67,"14","O0135","7/24/2020",59.49,,1,0,,,"26-35",,"7/1/2020","12/31/2020"
68,"128","O0140","11/11/2020",71.24,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
69,"1574","O0144","3/6/2020",53.43,,1,0,,,"36-45",,"1/2/2020","5/31/2020"
70,"1573","O0217","3/6/2020",26.71,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
71,"188","O0115","7/22/2020",134.64,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
72,"15","O0126","12/27/2020",35.62,,1,0,,,"46-55",,"7/1/2020","12/31/2020"
73,"1573","O0189","3/6/2020",106.86,,0,1,,,"46-55",,"1/2/2020","3/31/2020"
74,"1573","O0142","3/6/2020",56.64,,1,0,,,"46-55",,"1/2/2020","5/31/2020"
75,"16","O0136","12/6/2020",88.69,,1,0,,,"36-45",,"7/1/2020","12/31/2020"
76,"60807","O0042","9/11/2019",900,50,1,0,"S","Bronze","18-25","All","9/1/2019","10/31/2019"
77,"1572","O0218","3/6/2020",35.26,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
78,"18","O0128","7/27/2020",217.64,,0,1,,,"26-35",,"4/1/2020","7/31/2020"
79,"1572","O0216","3/6/2020",59.49,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
80,"228","O0115","8/14/2020",24.58,,1,0,,,"26-35",,"6/1/2020","8/31/2020"
81,"137","O0140","11/11/2020",44.52,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
82,"239","O0140","9/15/2020",72.31,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
83,"245","O0140","9/2/2020",120.75,,0,1,,,"26-35",,"9/1/2020","12/31/2020"
84,"262","O0140","10/1/2020",24.58,,0,1,,,"26-35",,"9/1/2020","12/31/2020"
85,"22","O0130","7/24/2020",124.31,,0,1,,,"36-45",,"7/1/2020","8/31/2020"
86,"23","O0108","2/3/2019",35.62,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
87,"23","O0041","1/26/2019",1138.42,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
88,"23","O0050","3/26/2019",74.45,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
89,"23","O0055","2/6/2019",191.64,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
90,"23","O0090","3/13/2019",13.54,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
91,"23","O0108","3/1/2019",89.05,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
92,"23","O0107","3/13/2019",29.92,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
93,"23","O0028","4/29/2019",35.26,,1,0,,,"36-45",,"1/1/2019","5/31/2019"
94,"329","O0062","6/4/2019",213.72,,0,1,,,"46-55",,"6/1/2019","8/31/2019"
95,"23","O0011","9/11/2019",70.88,,1,0,,,"36-45",,"7/1/2019","10/31/2019"
96,"366","O0062","7/25/2019",127.88,,0,1,,,"26-35",,"6/1/2019","8/31/2019"
97,"418","O0062","7/27/2019",102.59,,0,1,,,"18-25",,"6/1/2019","8/31/2019"
98,"23","O0040","8/1/2019",141.77,,1,0,,,"36-45",,"7/1/2019","10/31/2019"
99,"499","O0062","6/6/2019",71.24,,0,1,,,"36-45",,"6/1/2019","8/31/2019"
100,"23","O0022","12/20/2019",80.14,,0,1,,,"36-45",,"7/1/2019","12/31/2019"
101,"510","O0062","6/6/2019",354.42,,0,1,,,"26-35",,"6/1/2019","8/31/2019"
102,"59445","O0042","9/12/2019",700,50,1,0,"S","Bronze","26-35","All","9/1/2019","10/31/2019"
103,"58397","O0042","10/20/2019",750,50,1,0,"B","Bronze","26-35","All","9/1/2019","10/31/2019"
104,"57703","O0042","10/4/2019",500,50,1,0,"B","Bronze","36-45","All","9/1/2019","10/31/2019"
105,"56508","O0042","10/31/2019",550,50,0,1,"B","Bronze","26-35","All","9/1/2019","10/31/2019"
106,"1570","O0158","3/6/2020",59.13,,1,0,,,"18-25",,"1/1/2020","3/31/2020"
107,"1568","O0216","3/6/2020",141.77,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
108,"1568","O0211","3/6/2020",42.39,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
109,"1568","O0142","4/11/2020",135,,1,0,,,"36-45",,"1/2/2020","5/31/2020"
110,"1567","O0195","2/10/2020",42.39,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
111,"1566","O0214","2/10/2020",184.51,,1,0,,,"26-35",,"1/1/2020","3/31/2020"
112,"1566","O0197","2/10/2020",49.16,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
113,"1566","O0139","2/10/2020",53.43,,0,1,,,"26-35",,"1/2/2020","3/31/2020"
114,"1563","O0234","2/10/2020",227.26,,1,0,,,"36-45",,"1/1/2020","3/31/2020"
115,"1563","O0179","2/10/2020",71.24,,0,1,,,"36-45",,"1/2/2020","3/31/2020"
116,"1563","O0159","2/10/2020",99.38,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
117,"1563","O0141","2/10/2020",21.02,,1,0,,,"36-45",,"1/2/2020","5/31/2020"
118,"1562","O0185","2/10/2020",35.62,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
119,"1561","O0217","2/10/2020",35.26,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
120,"1560","O0177","2/10/2020",56.64,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
121,"1559","O0215","2/10/2020",35.62,,1,0,,,"26-35",,"1/1/2020","3/31/2020"
122,"1558","O0190","2/10/2020",56.64,,1,0,,,"36-45",,"1/1/2020","3/31/2020"
123,"1558","O0178","2/10/2020",71.24,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
124,"1558","O0148","2/10/2020",117.19,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
125,"1557","O0232","2/10/2020",7.12,,1,0,,,"18-25",,"1/2/2020","3/31/2020"
126,"1556","O0148","2/10/2020",117.19,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
127,"1555","O0218","2/10/2020",213.36,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
128,"1555","O0213","2/10/2020",35.62,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
129,"1555","O0211","2/10/2020",35.62,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
130,"1555","O0203","2/10/2020",24.58,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
131,"1555","O0193","2/10/2020",248.98,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
132,"1555","O0189","2/10/2020",118.61,,0,1,,,"56-70",,"1/2/2020","3/31/2020"
133,"1555","O0186","2/10/2020",39.89,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
134,"1555","O0183","2/10/2020",71.24,,1,0,,,"56-70",,"1/2/2020","3/31/2020"
135,"1555","O0179","2/10/2020",81.57,,0,1,,,"56-70",,"1/2/2020","3/31/2020"
136,"1555","O0144","2/10/2020",24.58,,1,0,,,"56-70",,"1/2/2020","5/31/2020"
137,"23","O0239","3/22/2020",148.89,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
138,"23","O0239","4/12/2020",21.02,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
139,"245","O0115","8/2/2020",106.5,,1,0,,,"26-35",,"6/1/2020","8/31/2020"
140,"256","O0115","6/21/2020",58.77,,1,0,,,"26-35",,"6/1/2020","8/31/2020"
141,"23","O0238","3/9/2020",29.56,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
142,"320","O0115","6/13/2020",427.08,,1,0,,,"56-70",,"6/1/2020","8/31/2020"
143,"23","O0238","3/4/2020",23.15,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
144,"23","O0236","6/24/2020",59.49,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
145,"357","O0115","7/30/2020",149.25,,1,0,,,"18-25",,"6/1/2020","8/31/2020"
146,"373","O0115","7/11/2020",28.5,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
147,"394","O0115","6/8/2020",45.95,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
148,"427","O0115","6/28/2020",53.43,,1,0,,,"56-70",,"6/1/2020","8/31/2020"
149,"460","O0115","7/6/2020",178.1,,1,0,,,"70+",,"6/1/2020","8/31/2020"
150,"23","O0145","7/12/2020",11.75,,1,0,,,"36-45",,"7/1/2020","7/31/2020"
151,"23","O0221","7/2/2020",59.49,,1,0,,,"36-45",,"7/1/2020","10/31/2020"
152,"23","O0237","3/5/2020",44.52,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
153,"466","O0115","8/31/2020",88.69,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
154,"496","O0115","7/13/2020",49.51,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
155,"533","O0115","8/4/2020",188.43,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
156,"533","O0115","8/4/2020",35.62,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
157,"533","O0115","8/4/2020",45.95,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
158,"560","O0115","8/14/2020",426.37,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
159,"23","O0133","7/15/2020",100.09,,1,0,,,"36-45",,"7/1/2020","8/31/2020"
160,"23","O0127","10/13/2020",70.88,,1,0,,,"36-45",,"7/1/2020","12/31/2020"
161,"23","O0125","10/17/2020",88.69,,1,0,,,"36-45",,"7/1/2020","10/31/2020"
162,"23","O0125","10/20/2020",88.69,,1,0,,,"36-45",,"7/1/2020","10/31/2020"
163,"332","O0140","10/24/2020",56.64,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
164,"359","O0140","12/7/2020",35.62,,0,1,,,"26-35",,"9/1/2020","12/31/2020"
165,"399","O0140","9/8/2020",111.49,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
166,"427","O0140","11/25/2020",124.31,,0,1,,,"56-70",,"9/1/2020","12/31/2020"
167,"23","O0226","11/26/2020",35.62,,1,0,,,"36-45",,"10/1/2020","12/31/2020"
168,"446","O0140","9/28/2020",49.16,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
169,"487","O0140","10/7/2020",56.64,,0,1,,,"56-70",,"9/1/2020","12/31/2020"
170,"23","O0225","10/18/2020",106.5,,1,0,,,"36-45",,"10/1/2020","12/31/2020"
171,"23","O0228","11/4/2020",169.91,,1,0,,,"36-45",,"10/1/2020","12/31/2020"
172,"23","O0227","11/13/2020",116.83,,1,0,,,"36-45",,"10/1/2020","12/31/2020"
173,"23","O0225","12/19/2020",1553.74,,1,0,,,"36-45",,"10/1/2020","12/31/2020"
174,"1554","O0202","2/10/2020",35.62,,1,0,,,"18-25",,"1/2/2020","3/31/2020"
175,"1553","O0211","2/10/2020",26.71,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
176,"561","O0115","6/18/2020",31.7,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
177,"27","O0025","4/24/2019",64.12,,1,0,,,"36-45",,"1/1/2019","5/31/2019"
178,"27","O0014","5/31/2019",248.98,,1,0,,,"36-45",,"4/1/2019","7/31/2019"
179,"27","O0018","7/1/2019",142.48,,1,0,,,"36-45",,"7/1/2019","8/31/2019"
180,"1553","O0203","1/16/2020",71.24,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
181,"1553","O0148","3/4/2020",71.24,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
182,"1551","O0141","4/2/2020",248.98,,1,0,,,"46-55",,"1/2/2020","5/31/2020"
183,"1549","O0233","1/21/2020",44.52,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
184,"1549","O0220","1/15/2020",23.51,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
185,"586","O0115","7/31/2020",112.2,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
186,"27","O0133","8/8/2020",89.05,,1,0,,,"36-45",,"7/1/2020","8/31/2020"
187,"490","O0140","9/7/2020",148.54,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
188,"27","O0225","10/21/2020",138.56,,1,0,,,"36-45",,"10/1/2020","12/31/2020"
189,"27","O0126","12/7/2020",99.38,,1,0,,,"36-45",,"7/1/2020","12/31/2020"
190,"27","O0126","11/23/2020",213.36,,1,0,,,"36-45",,"7/1/2020","12/31/2020"
191,"28","O0063","2/8/2019",213.36,,1,0,,,"46-55",,"1/1/2019","3/31/2019"
192,"637","O0062","6/13/2019",102.94,,0,1,,,"46-55",,"6/1/2019","8/31/2019"
193,"661","O0062","7/21/2019",284.6,,0,1,,,"36-45",,"6/1/2019","8/31/2019"
194,"28","O0030","7/1/2019",56.64,,1,0,,,"46-55",,"7/1/2019","10/31/2019"
195,"1549","O0220","1/15/2020",63.76,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
196,"1549","O0217","2/6/2020",142.48,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
197,"1549","O0201","2/11/2020",37.76,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
198,"28","O0240","3/1/2020",35.62,,1,0,,,"46-55",,"3/1/2020","7/31/2020"
199,"605","O0115","7/13/2020",99.38,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
200,"28","O0145","7/12/2020",65.9,,1,0,,,"46-55",,"7/1/2020","7/31/2020"
201,"28","O0130","7/30/2020",124.67,,0,1,,,"46-55",,"7/1/2020","8/31/2020"
202,"637","O0115","7/1/2020",138.56,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
203,"538","O0140","12/9/2020",88.69,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
204,"550","O0140","10/17/2020",59.49,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
205,"552","O0140","12/27/2020",56.28,,0,1,,,"70+",,"9/1/2020","12/31/2020"
206,"586","O0140","12/9/2020",414.26,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
207,"589","O0140","11/16/2020",78.01,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
208,"626","O0140","12/11/2020",12.11,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
209,"1549","O0201","3/18/2020",56.64,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
210,"1549","O0198","1/13/2020",102.59,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
211,"637","O0115","6/3/2020",262.88,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
212,"29","O0236","3/12/2020",117.19,,1,0,,,"26-35",,"3/1/2020","7/31/2020"
213,"630","O0140","12/30/2020",56.64,,0,1,,,"26-35",,"9/1/2020","12/31/2020"
214,"1549","O0195","3/20/2020",70.88,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
215,"31","O0091","2/14/2019",59.49,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
216,"31","O0027","2/27/2019",59.49,,1,0,,,"36-45",,"1/1/2019","5/31/2019"
217,"56507","O0042","9/18/2019",650,50,1,0,"B","Bronze","26-35","All","9/1/2019","10/31/2019"
218,"1549","O0188","2/20/2020",127.88,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
219,"31","O0239","7/17/2020",59.49,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
220,"635","O0140","10/15/2020",106.5,,0,1,,,"36-45",,"9/1/2020","12/31/2020"
221,"636","O0140","9/30/2020",106.86,,0,1,,,"56-70",,"9/1/2020","12/31/2020"
222,"31","O0136","10/26/2020",59.49,,1,0,,,"36-45",,"7/1/2020","12/31/2020"
223,"637","O0140","11/1/2020",70.88,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
224,"32","O0137","12/12/2020",72.31,,1,0,,,"26-35",,"7/1/2020","12/31/2020"
225,"1549","O0187","1/2/2020",45.59,,1,0,,,"26-35",,"1/1/2020","3/31/2020"
226,"34","O0032","3/14/2019",124.31,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
227,"34","O0110","3/29/2019",7.12,,1,0,,,"36-45",,"3/1/2019","7/31/2019"
228,"35","O0012","9/25/2019",70.53,,1,0,,,"18-25",,"7/1/2019","10/31/2019"
229,"1549","O0187","3/13/2020",56.28,,1,0,,,"26-35",,"1/1/2020","3/31/2020"
230,"1549","O0185","3/27/2020",70.88,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
231,"38","O0054","3/27/2019",110.07,,0,1,,,"46-55",,"1/1/2019","3/31/2019"
232,"700","O0062","8/22/2019",49.16,,0,1,,,"36-45",,"6/1/2019","8/31/2019"
233,"38","O0017","8/27/2019",241.5,,1,0,,,"46-55",,"7/1/2019","8/31/2019"
234,"54405","O0042","11/10/2019",1000,50,1,0,"B","Bronze","36-45","All","9/1/2019","10/31/2019"
235,"1549","O0158","3/28/2020",191.99,,1,0,,,"26-35",,"1/1/2020","3/31/2020"
236,"1547","O0184","3/18/2020",72.66,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
237,"1547","O0148","3/22/2020",118.61,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
238,"637","O0140","11/13/2020",102.94,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
239,"40","O0110","5/18/2019",59.49,,1,0,,,"56-70",,"3/1/2019","7/31/2019"
240,"40","O0020","9/1/2019",24.58,,1,0,,,"56-70",,"7/1/2019","12/31/2019"
241,"1544","O0235","3/16/2020",56.64,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
242,"1544","O0212","1/6/2020",35.62,,1,0,,,"46-55",,"1/1/2020","3/31/2020"
243,"1543","O0213","3/27/2020",35.62,,1,0,,,"46-55",,"1/2/2020","3/31/2020"
244,"1538","O0234","3/24/2020",248.63,,1,0,,,"36-45",,"1/1/2020","3/31/2020"
245,"40","O0226","12/8/2020",248.98,,1,0,,,"56-70",,"10/1/2020","12/31/2020"
246,"637","O0140","10/19/2020",71.24,,0,1,,,"46-55",,"9/1/2020","12/31/2020"
247,"40","O0224","12/1/2020",248.98,,1,0,,,"56-70",,"10/1/2020","12/31/2020"
248,"724","O0062","8/4/2019",2340.95,,0,1,,,"26-35",,"6/1/2019","8/31/2019"
249,"1538","O0203","3/1/2020",14.25,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
250,"42","O0226","10/21/2020",88.69,,1,0,,,"26-35",,"10/1/2020","12/31/2020"
251,"1538","O0177","1/16/2020",81.57,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
252,"1537","O0208","1/3/2020",89.05,,1,0,,,"18-25",,"1/1/2020","3/31/2020"
253,"637","O0115","6/3/2020",47.37,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
254,"637","O0115","6/8/2020",71.24,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
255,"1537","O0188","1/16/2020",59.49,,1,0,,,"18-25",,"1/2/2020","3/31/2020"
256,"46","O0091","2/6/2019",961.74,,1,0,,,"70+",,"1/1/2019","3/31/2019"
257,"46","O0011","8/31/2019",50.94,,1,0,,,"70+",,"7/1/2019","10/31/2019"
258,"54362","O0042","11/10/2019",800,50,1,0,"B","Bronze","46-55","All","9/1/2019","10/31/2019"
259,"1537","O0176","2/6/2020",70.88,,1,0,,,"18-25",,"1/2/2020","3/31/2020"
260,"1536","O0213","1/4/2020",53.43,,1,0,,,"13-18",,"1/2/2020","3/31/2020"
261,"1534","O0183","3/16/2020",49.51,,1,0,,,"36-45",,"1/2/2020","3/31/2020"
262,"46","O0237","5/26/2020",106.5,,1,0,,,"70+",,"3/1/2020","7/31/2020"
263,"46","O0128","6/16/2020",85.13,,0,1,,,"70+",,"4/1/2020","7/31/2020"
264,"46","O0131","8/23/2020",89.76,,0,1,,,"70+",,"7/1/2020","8/31/2020"
265,"46","O0238","7/24/2020",82.28,,1,0,,,"70+",,"3/1/2020","7/31/2020"
266,"641","O0115","6/22/2020",70.88,,1,0,,,"46-55",,"6/1/2020","8/31/2020"
267,"661","O0115","8/23/2020",88.34,,1,0,,,"36-45",,"6/1/2020","8/31/2020"
268,"47","O0056","2/21/2019",142.48,,0,1,,,"36-45",,"1/1/2019","3/31/2019"
269,"848","O0062","8/1/2019",88.69,,0,1,,,"36-45",,"6/1/2019","8/31/2019"
270,"47","O0101","11/7/2019",56.28,,1,0,,,"36-45",,"10/1/2019","12/31/2019"
271,"1534","O0153","3/9/2020",71.24,,1,0,,,"36-45",,"1/1/2020","3/31/2020"
272,"1532","O0217","1/10/2020",24.58,,1,0,,,"26-35",,"1/2/2020","3/31/2020"
273,"1532","O0141","1/14/2020",28.5,,1,0,,,"26-35",,"1/2/2020","5/31/2020"
274,"48","O0106","1/31/2019",35.62,,1,0,,,"36-45",,"1/1/2019","3/31/2019"
275,"48","O0236","6/23/2020",14.25,,1,0,,,"36-45",,"3/1/2020","7/31/2020"
276,"48","O0132","8/30/2020",35.62,,1,0,,,"36-45",,"7/1/2020","8/31/2020"
277,"53602","O0042","11/10/2019",950,50,1,1,"B","Bronze","26-35","All","9/1/2019","10/31/2019"
278,"49410","O0042","10/7/2019",600,50,0,1,"B","Bronze","26-35","All","9/1/2019","10/31/2019"
279,"1532","O0139","3/18/2020",111.49,,0,1,,,"26-35",,"1/2/2020","3/31/2020"
